Podium,Player,Points,Podium_Points
1,Pirarucu,4160,3.0
2,Pepeieu arros,3780,2.0
3,Bruno,3740,1.0
4,Gui,3640,
5,@TOBIAS,3580,
6,Filupe,3500,
7,Minwoo,3420,
8,Estrela,3360,
9,Rafaaa,3280,
10,Pai da Antonell,2700,
11,Nickname,2660,
12,Frank,2260,
13,Mel,2180,
14,F&G,2100,
15,euu,2040,
16,Manphred,1920,
17,Ame,1760,
18,Lari,1680,
19,Rota Do Céu,1500,
20,Evelyn,1040,
21,Frank2,760,
22,Fernando,200,
1,luaraaa,1620,3.0
2,Frank,1440,2.0
3,Gabyzinha,880,1.0
4,Xandão,840,
5,PaiMEN,820,
6,Bi do Mar,420,
7,Estrela,360,
